Material	SAE	DIN	WNR	KC 1.1 [Mpas]	KC 1.1 [Kpsi]	MC
Duplex 2205 (F60 / F51) 	ASTM A182 Grade F60 	X2CrNiMoN22-5-3 	1.4462 	2150 	312 	0.20
Duplex 2304 (F68) 	ASTM A182 Grade F68 	X2CrNiN23-4 	1.4362 	2150 	312 	0.20
Duplex 255 				2150 	312 	0.20
Duplex 2550 (F61) 	ASTM A182 Grade F61 	X2CrNiMoN25-6-3 	1.4507 	2150 	312 	0.20
Duplex 2760 (F55) 	ASTM A182 Grade F55 	X2CrNiMoCuWN25-7-4 	1.4501 	2150 	312 	0.20
Duplex LDX2101 				2150 	312 	0.20
Duraloy 22H 				3300 	479 	0.24
Duraloy Super 22H 				3300 	479 	0.24
Durimphy 		X2NiCoMoTi180905 		4600 	667 	0.25
E-Brite Alloy 	ASTM B625 			2150 	312 	0.20
E-Cu57 		E-Cu57 	2.0060 	700 	102 	0.27
EV8 	EV8 	X53CrMnNiN21-9 	1.4871 	2150 	312 	0.20
F 1537 	ASTM F1537 			3300 	479 	0.24
Ferrium® S53® 				4600 	667 	0.25
FV535 				2450 	355 	0.23
FV607 				2150 	312 	0.20
G-CuZn40Fe 		G-CuZn40Fe 	2.0590 	700 	102 	0.27
GG10 	A48-20B 	GG10 	0.6010 	1150 	167 	0.20
GG15 	A48-25B 	GG15 	0.6015 	1150 	167 	0.20
GG20 	A48-30B 	GG20 	0.6020 	1150 	167 	0.20
GG25 	A48-35B 	GG25 	0.6025 	1350 	196 	0.28
GG30 	A48-45B 	GG30 	0.6030 	1350 	196 	0.28
GG35 	A48-50B 	GG35 	0.6035 	1350 	196 	0.28
GG40 	A48-55B 	GG40 	0.6040 	1350 	196 	0.28
GGG--40Mo0.5 	65-45-12 	GGG-50 	0.7050 	1225 	178 	0.25
GGG-35.3 		GGG-35.3 	0.7033 	1225 	178 	0.25
GGG-40 	60-40-18 	GGG-40 	0.7040 	1225 	178 	0.25
GGG-50 				1350 	196 	0.28
GGG-60 	80-55-06 	GGG-60 	0.7060 	1350 	196 	0.28
GGG-70 	100-70-03 	GGG-70 	0.7070 	1350 	196 	0.28
GGG-80 	120-90-02 	GGG-80 	0.7080 	1350 	196 	0.28
GGG-Ni22 	A 439 Type D-2C 	GGG-Ni22 	0.7670 	1225 	178 	0.25
GGG-Ni35 	A 439 Type D-5 	GGG-Ni35 	0.7683 	1225 	178 	0.25
GGG-NiCr20.3 	A 439 Type D-2B 	GGG-NiCr20.3 	0.7661 	1350 	196 	0.28
GGG-NiCr202 	A 439 Type D-2 	GGG-NiCr20.2 	0.7660 	1225 	178 	0.25
GGG-NiCr30.1 	A 439 Type D-3A 	GGG-NiCr30.1 	0.7677 	1350 	196 	0.28
GGG-NiCr303 	A 439 Type D-3 	GGG-NiCr30.3 	0.7676 	1225 	178 	0.25
GGG-NiCr353 	A 439 Type D-5B 	GGG-NiCr35.3 	0.7685 	1225 	178 	0.25
GGG-NiCrNb20.2 		GGG-NiCrNb20.2 	0.7659 	1350 	196 	0.28
GGG-NiMn13.7 		GGG-NiMn13.7 	0.7652 	1350 	196 	0.28
GGG-NiMn234 	A 571 Type D-2M 	GGG-NiMn23.4 	0.7673 	1225 	178 	0.25
GGG-NiSi3055 	A 439 Type D-4 	GGG-NiSiCr30.5.5 	0.7680 	1350 	196 	0.28
GGG-NiSiCr20.5.2 		GGG-NiSiCr20.5.2 	0.7665 	1350 	196 	0.28
GGG-NiSiCr30.5.2 		GGG-NiSiCr30.5.2 	0.7679 	1350 	196 	0.28
GGG-NiSiCr35.5.2 		GGG-NiSiCr35.5.2 	0.7688 	1350 	196 	0.28
GGG120B 				4600 	667 	0.25
GGG140B 				4600 	667 	0.25
GGG80B 				4600 	667 	0.25
GGG90B 				4600 	667 	0.25
GMR 235 	AlSl 686 			3300 	479 	0.24
GMR 235-D 		NiCr16MoAl 		3300 	479 	0.24
Greek Ascoloy - 418 	5508 			3100 	450 	0.24
GTS-35-10 	32510 	GTS-35-10 	0.8135 	1225 	178 	0.25
GTS-45-06 		GTS-45-06 		1225 	178 	0.25
GTS-55-04 				1420 	206 	0.30
GTS-65-02 	70003 	GTS-65-02 	0.8165 	1420 	206 	0.30
GTS-70-02 	A220-80002 	GTS-70-02 	0.8170 	1420 	206 	0.30
GTW-35-04 		GTW-35-04 	0.8035 	1225 	178 	0.25
GTW-40-05 		GTW-40-05 	0.8040 	1225 	178 	0.25
GTW-45-07 		GTW-45-07 	0.8045 	1225 	178 	0.25
H10 				4600 	667 	0.25
H10 	H10 	X32CrMoV33 	1.2365 	2450 	355 	0.23
H10A 	H10A 	X32CrMoCoV33.3 	1.2885 	2450 	355 	0.23
H11 	H11 	X38CrMoV51 	1.2343 	2450 	355 	0.23
H11 				4600 	667 	0.25
H12 				4600 	667 	0.25
H13 	H13 	X40CrMoV51 	1.2344 	2450 	355 	0.23
H19 				4600 	667 	0.25
H21 	H21 	X30WCrV93 	1.2581 	2450 	355 	0.23
H21 				4600 	667 	0.25
H46 				2150 	312 	0.20
Hardox 450 				4600 	667 	0.25
Hardox 500 				4600 	667 	0.25
Hardox 550 				4700 	682 	0.25
Hardox 600 				4700 	682 	0.25
Hardox400 				2450 	355 	0.23
HardoxHiTuf 				2450 	355 	0.23
